"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","0.5222","0.5106","0.5304","0.5048","63.05M","2.27%"
"09/16/2024","0.5106","0.5109","0.5171","0.4980","56.00M","-0.12%"
"09/15/2024","0.5112","0.5306","0.5402","0.5090","49.87M","-3.67%"
"09/14/2024","0.5307","0.5370","0.5394","0.5268","29.56M","-1.17%"
"09/13/2024","0.5370","0.5248","0.5400","0.5162","59.03M","2.33%"
"09/12/2024","0.5248","0.5144","0.5267","0.5112","45.56M","2.02%"
"09/11/2024","0.5144","0.5337","0.5339","0.5022","67.50M","-3.60%"
"09/10/2024","0.5336","0.5240","0.5406","0.5160","56.73M","1.84%"
"09/09/2024","0.5240","0.5084","0.5319","0.5058","49.64M","3.06%"
"09/08/2024","0.5084","0.5010","0.5156","0.4967","38.54M","1.47%"
"09/07/2024","0.5010","0.4808","0.5050","0.4799","37.83M","4.21%"
"09/06/2024","0.4808","0.4972","0.5076","0.4691","127.12M","-3.30%"
"09/05/2024","0.4972","0.4971","0.5025","0.4908","47.99M","0.02%"
"09/04/2024","0.4971","0.4942","0.5136","0.4691","67.57M","0.77%"
"09/03/2024","0.4933","0.5163","0.5209","0.4933","40.97M","-4.47%"
"09/02/2024","0.5164","0.4900","0.5219","0.4895","45.43M","5.33%"
"09/01/2024","0.4903","0.5140","0.5143","0.4862","40.10M","-4.61%"
"08/31/2024","0.5140","0.5137","0.5194","0.5074","21.09M","0.06%"
"08/30/2024","0.5137","0.5133","0.5163","0.4872","66.86M","0.09%"
"08/29/2024","0.5133","0.5215","0.5341","0.5072","50.25M","-1.58%"
"08/28/2024","0.5215","0.5252","0.5372","0.5069","86.31M","-0.71%"
"08/27/2024","0.5252","0.5711","0.5798","0.5150","86.12M","-8.03%"
"08/26/2024","0.5711","0.5975","0.6049","0.5692","61.69M","-4.41%"
"08/25/2024","0.5975","0.6217","0.6217","0.5895","61.15M","-3.89%"
"08/24/2024","0.6217","0.6026","0.6364","0.5978","82.31M","3.17%"
"08/23/2024","0.6026","0.5614","0.6087","0.5613","80.62M","7.33%"
"08/22/2024","0.5614","0.5528","0.5688","0.5428","55.41M","1.56%"
"08/21/2024","0.5528","0.5354","0.5594","0.5272","53.81M","3.25%"
"08/20/2024","0.5354","0.5405","0.5540","0.5273","54.05M","-0.94%"
"08/19/2024","0.5405","0.5368","0.5423","0.5273","41.35M","0.69%"
"08/18/2024","0.5368","0.5403","0.5541","0.5358","27.74M","-0.66%"
"08/17/2024","0.5403","0.5333","0.5433","0.5308","21.69M","1.25%"
"08/16/2024","0.5336","0.5359","0.5496","0.5225","46.96M","-0.43%"
"08/15/2024","0.5359","0.5617","0.5696","0.5315","66.78M","-4.59%"
"08/14/2024","0.5617","0.5789","0.5879","0.5558","67.96M","-2.97%"
"08/13/2024","0.5789","0.5893","0.5918","0.5672","51.25M","-1.76%"
"08/12/2024","0.5893","0.5520","0.5963","0.5462","85.08M","6.76%"
"08/11/2024","0.5520","0.5773","0.5962","0.5487","65.15M","-4.38%"
"08/10/2024","0.5773","0.5772","0.5896","0.5610","61.43M","0.02%"
"08/09/2024","0.5772","0.5551","0.5886","0.5366","114.03M","3.98%"
"08/08/2024","0.5551","0.4837","0.5583","0.4783","86.75M","14.76%"
"08/07/2024","0.4837","0.5023","0.5227","0.4768","91.83M","-3.70%"
"08/06/2024","0.5023","0.4815","0.5219","0.4814","114.21M","4.32%"
"08/05/2024","0.4815","0.5652","0.5677","0.4302","397.92M","-14.82%"
"08/04/2024","0.5652","0.6072","0.6187","0.5561","78.78M","-6.97%"
"08/03/2024","0.6075","0.6034","0.6271","0.5856","70.55M","0.68%"
"08/02/2024","0.6034","0.6541","0.6556","0.5948","59.04M","-7.75%"
"08/01/2024","0.6541","0.6575","0.6619","0.6155","72.27M","-0.51%"
"07/31/2024","0.6575","0.6781","0.6878","0.6535","38.80M","-3.04%"
"07/30/2024","0.6781","0.7044","0.7095","0.6663","32.27M","-3.73%"
"07/29/2024","0.7044","0.7126","0.7350","0.6981","48.72M","-1.16%"
"07/28/2024","0.7126","0.7208","0.7244","0.7057","21.15M","-1.13%"
"07/27/2024","0.7208","0.7266","0.7419","0.7070","40.51M","-0.81%"
"07/26/2024","0.7266","0.6983","0.7326","0.6973","43.38M","4.05%"
"07/25/2024","0.6984","0.7397","0.7412","0.6738","100.57M","-5.62%"
"07/24/2024","0.7399","0.7992","0.7992","0.7361","68.74M","-7.43%"
"07/23/2024","0.7993","0.7599","0.8275","0.7558","193.96M","5.20%"
"07/22/2024","0.7598","0.8028","0.8082","0.7557","51.94M","-5.31%"
"07/21/2024","0.8024","0.7791","0.8068","0.7547","62.45M","2.99%"
"07/20/2024","0.7791","0.7740","0.7947","0.7657","52.64M","0.58%"
"07/19/2024","0.7746","0.7474","0.7768","0.7274","54.56M","3.64%"
"07/18/2024","0.7474","0.7468","0.7688","0.7278","62.93M","0.08%"
"07/17/2024","0.7468","0.7514","0.7785","0.7428","81.64M","-0.61%"
"07/16/2024","0.7514","0.7734","0.7762","0.7237","85.85M","-2.84%"
"07/15/2024","0.7734","0.7216","0.7767","0.7188","78.06M","7.18%"
"07/14/2024","0.7216","0.7005","0.7256","0.6938","40.57M","3.01%"
"07/13/2024","0.7005","0.6990","0.7079","0.6899","45.42M","0.22%"
"07/12/2024","0.6990","0.6930","0.7076","0.6796","39.84M","0.86%"
"07/11/2024","0.6930","0.7141","0.7339","0.6910","56.20M","-2.97%"
"07/10/2024","0.7142","0.7100","0.7315","0.6953","66.93M","0.59%"
"07/09/2024","0.7100","0.6678","0.7152","0.6618","69.07M","6.32%"
"07/08/2024","0.6678","0.6505","0.6868","0.6065","132.07M","2.66%"
"07/07/2024","0.6505","0.6936","0.6969","0.6495","71.89M","-6.21%"
"07/06/2024","0.6936","0.6227","0.6976","0.6142","66.28M","11.46%"
"07/05/2024","0.6223","0.6790","0.6797","0.5729","240.01M","-8.35%"
"07/04/2024","0.6790","0.7640","0.7679","0.6744","111.67M","-11.13%"
"07/03/2024","0.7640","0.7832","0.7893","0.7522","63.21M","-2.45%"
"07/02/2024","0.7832","0.7802","0.7855","0.7727","34.85M","0.38%"
"07/01/2024","0.7802","0.8019","0.8174","0.7781","40.08M","-2.71%"
"06/30/2024","0.8019","0.7794","0.8047","0.7700","31.84M","2.89%"
