"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","23.84","23.51","24.02","23.16","2.81M","1.37%"
"09/16/2024","23.51","23.80","24.24","23.23","3.25M","-1.21%"
"09/15/2024","23.80","25.33","25.38","23.77","2.65M","-6.04%"
"09/14/2024","25.33","24.91","25.66","24.62","2.35M","1.65%"
"09/13/2024","24.92","24.01","25.10","23.67","3.38M","3.77%"
"09/12/2024","24.01","23.28","24.04","23.27","2.93M","3.16%"
"09/11/2024","23.28","24.35","24.51","22.91","3.17M","-4.42%"
"09/10/2024","24.35","23.85","24.57","23.58","2.80M","2.12%"
"09/09/2024","23.85","23.25","24.37","23.16","3.72M","2.60%"
"09/08/2024","23.25","21.79","23.50","21.72","3.36M","6.67%"
"09/07/2024","21.79","21.17","22.00","21.06","2.13M","2.94%"
"09/06/2024","21.17","21.37","22.15","20.52","4.50M","-0.93%"
"09/05/2024","21.37","21.91","22.17","21.23","2.41M","-2.45%"
"09/04/2024","21.90","21.38","22.28","20.54","3.42M","2.43%"
"09/03/2024","21.38","22.37","22.70","21.36","2.37M","-4.39%"
"09/02/2024","22.37","21.44","22.54","21.38","2.48M","4.32%"
"09/01/2024","21.44","22.80","22.83","21.22","3.07M","-5.94%"
"08/31/2024","22.80","23.29","23.40","22.48","1.60M","-2.11%"
"08/30/2024","23.29","22.91","23.62","22.23","3.12M","1.65%"
"08/29/2024","22.91","23.44","24.65","22.80","3.53M","-2.32%"
"08/28/2024","23.45","24.10","24.81","23.21","4.63M","-2.71%"
"08/27/2024","24.11","25.94","26.79","23.73","4.09M","-7.06%"
"08/26/2024","25.94","26.95","27.19","25.90","3.68M","-3.77%"
"08/25/2024","26.95","27.13","27.66","26.17","3.84M","-0.65%"
"08/24/2024","27.13","26.51","27.98","26.21","4.40M","2.32%"
"08/23/2024","26.51","25.22","26.92","25.22","5.95M","5.08%"
"08/22/2024","25.23","23.52","25.28","23.08","4.36M","7.27%"
"08/21/2024","23.52","22.26","23.78","22.25","3.80M","5.68%"
"08/20/2024","22.26","21.21","22.77","21.18","4.08M","4.92%"
"08/19/2024","21.21","20.82","21.23","20.40","2.35M","1.92%"
"08/18/2024","20.81","20.71","21.50","20.55","2.22M","0.52%"
"08/17/2024","20.71","20.37","20.71","20.24","1.51M","1.63%"
"08/16/2024","20.37","20.13","20.68","19.83","2.76M","1.24%"
"08/15/2024","20.13","20.96","21.15","19.88","3.69M","-3.97%"
"08/14/2024","20.96","21.38","21.86","20.83","2.67M","-2.00%"
"08/13/2024","21.38","21.27","21.61","20.61","2.94M","0.52%"
"08/12/2024","21.27","20.40","21.68","20.33","3.66M","4.27%"
"08/11/2024","20.40","21.59","22.33","20.40","2.73M","-5.48%"
"08/10/2024","21.59","21.76","21.99","21.41","1.95M","-0.78%"
"08/09/2024","21.76","22.73","22.78","21.32","3.42M","-4.30%"
"08/08/2024","22.73","19.82","22.78","19.54","4.46M","14.73%"
"08/07/2024","19.82","20.89","21.69","19.72","4.17M","-5.08%"
"08/06/2024","20.88","19.53","21.45","19.53","5.32M","6.93%"
"08/05/2024","19.52","21.25","21.34","17.35","16.52M","-8.11%"
"08/04/2024","21.25","22.67","22.94","20.66","4.02M","-6.28%"
"08/03/2024","22.67","23.61","24.10","22.20","3.67M","-4.01%"
"08/02/2024","23.61","25.72","25.89","23.39","4.32M","-8.18%"
"08/01/2024","25.72","25.72","25.90","24.11","3.89M","0.00%"
"07/31/2024","25.71","26.33","26.85","25.45","3.75M","-2.34%"
"07/30/2024","26.33","27.01","27.31","26.07","2.87M","-2.53%"
"07/29/2024","27.01","27.40","28.83","27.01","4.34M","-1.42%"
"07/28/2024","27.40","28.03","28.17","27.14","2.16M","-2.25%"
"07/27/2024","28.04","28.73","29.51","27.65","3.20M","-2.42%"
"07/26/2024","28.73","27.24","28.86","27.18","3.92M","5.46%"
"07/25/2024","27.24","28.36","28.58","26.30","4.72M","-3.96%"
"07/24/2024","28.37","29.84","30.50","28.29","6.82M","-4.94%"
"07/23/2024","29.84","31.88","32.61","29.51","13.02M","-6.40%"
"07/22/2024","31.88","32.65","32.91","31.32","15.80M","-2.36%"
"07/21/2024","32.65","29.11","32.96","28.58","25.91M","12.16%"
"07/20/2024","29.11","28.17","29.18","27.82","8.27M","3.36%"
"07/19/2024","28.17","27.14","28.40","26.68","11.67M","3.81%"
"07/18/2024","27.13","27.24","27.93","26.63","9.05M","-0.38%"
"07/17/2024","27.24","28.00","29.01","27.22","11.84M","-2.73%"
"07/16/2024","28.00","27.82","29.22","26.50","15.30M","0.64%"
"07/15/2024","27.82","26.33","27.87","26.28","11.85M","5.66%"
"07/14/2024","26.33","25.86","26.64","25.62","7.69M","1.83%"
"07/13/2024","25.86","25.96","26.34","25.55","9.17M","-0.38%"
"07/12/2024","25.96","25.21","26.09","24.85","6.52M","2.96%"
"07/11/2024","25.21","25.76","26.36","25.04","10.61M","-2.15%"
"07/10/2024","25.77","26.43","27.40","25.63","7.63M","-2.52%"
"07/09/2024","26.43","25.22","26.49","24.72","11.33M","4.81%"
"07/08/2024","25.22","25.72","27.18","24.60","15.47M","-1.94%"
