"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","0.00001654","0.00001616","0.00001688","0.00001591","347.33K","2.35%"
"09/16/2024","0.00001616","0.00001647","0.00001674","0.00001602","346.60K","-2.06%"
"09/15/2024","0.00001650","0.00001716","0.00001744","0.00001641","340.13K","-3.79%"
"09/14/2024","0.00001715","0.00001765","0.00001769","0.00001703","353.94K","-2.94%"
"09/13/2024","0.00001767","0.00001708","0.00001785","0.00001675","410.28K","3.58%"
"09/12/2024","0.00001706","0.00001658","0.00001735","0.00001658","403.29K","2.90%"
"09/11/2024","0.00001658","0.00001725","0.00001727","0.00001612","405.13K","-3.83%"
"09/10/2024","0.00001724","0.00001720","0.00001763","0.00001706","352.07K","0.12%"
"09/09/2024","0.00001722","0.00001641","0.00001753","0.00001623","444.89K","4.81%"
"09/08/2024","0.00001643","0.00001591","0.00001670","0.00001585","394.17K","3.40%"
"09/07/2024","0.00001589","0.00001584","0.00001634","0.00001567","375.43K","0.44%"
"09/06/2024","0.00001582","0.00001581","0.00001663","0.00001516","571.44K","-0.50%"
"09/05/2024","0.00001590","0.00001685","0.00001708","0.00001585","386.49K","-5.53%"
"09/04/2024","0.00001683","0.00001654","0.00001728","0.00001567","398.05K","1.57%"
"09/03/2024","0.00001657","0.00001751","0.00001806","0.00001657","396.60K","-5.26%"
"09/02/2024","0.00001749","0.00001648","0.00001761","0.00001638","501.71K","6.06%"
"09/01/2024","0.00001649","0.00001733","0.00001736","0.00001636","445.85K","-4.90%"
"08/31/2024","0.00001734","0.00001773","0.00001794","0.00001715","345.82K","-2.42%"
"08/30/2024","0.00001777","0.00001803","0.00001817","0.00001692","388.80K","-1.55%"
"08/29/2024","0.00001805","0.00001810","0.00001899","0.00001777","373.05K","-0.28%"
"08/28/2024","0.00001810","0.00001825","0.00001880","0.00001767","438.71K","-0.77%"
"08/27/2024","0.00001824","0.00001967","0.00002028","0.00001805","483.58K","-7.41%"
"08/26/2024","0.00001970","0.00002105","0.00002129","0.00001963","413.67K","-6.28%"
"08/25/2024","0.00002102","0.00002199","0.00002199","0.00002030","478.04K","-4.50%"
"08/24/2024","0.00002201","0.00002072","0.00002303","0.00002038","720.67K","6.38%"
