"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","0.5885","0.5651","0.5973","0.5595","620.17K","4.14%"
"09/16/2024","0.5651","0.5852","0.5880","0.5586","577.06K","-3.43%"
"09/15/2024","0.5852","0.6327","0.6332","0.5820","716.54K","-7.51%"
"09/14/2024","0.6327","0.6053","0.6400","0.5942","937.57K","4.53%"
"09/13/2024","0.6053","0.5933","0.6102","0.5738","684.66K","2.07%"
"09/12/2024","0.5930","0.5903","0.5988","0.5705","1.09M","0.46%"
"09/11/2024","0.5903","0.5721","0.6030","0.5657","1.32M","3.06%"
"09/10/2024","0.5728","0.5787","0.5801","0.5626","487.46K","-0.83%"
"09/09/2024","0.5776","0.5796","0.5842","0.5430","935.34K","-0.35%"
"09/08/2024","0.5796","0.5350","0.5940","0.5337","1.30M","8.34%"
"09/07/2024","0.5350","0.5300","0.5487","0.5236","439.67K","0.94%"
"09/06/2024","0.5300","0.5428","0.5560","0.5106","1.29M","-2.48%"
"09/05/2024","0.5435","0.5848","0.5944","0.5384","1.05M","-7.28%"
"09/04/2024","0.5862","0.6072","0.6190","0.5745","2.15M","-3.68%"
"09/03/2024","0.6086","0.5433","0.7147","0.5419","4.39M","12.02%"
"09/02/2024","0.5433","0.4981","0.5577","0.4968","1.20M","9.07%"
"09/01/2024","0.4981","0.5088","0.5163","0.4914","289.95K","-2.10%"
"08/31/2024","0.5088","0.5172","0.5425","0.5027","526.73K","-1.62%"
"08/30/2024","0.5172","0.5348","0.5348","0.4945","696.36K","-3.42%"
"08/29/2024","0.5355","0.5614","0.5677","0.5312","588.80K","-4.61%"
"08/28/2024","0.5614","0.5715","0.5861","0.5502","590.19K","-1.77%"
"08/27/2024","0.5715","0.6489","0.6559","0.5620","817.43K","-12.10%"
"08/26/2024","0.6502","0.6097","0.7010","0.5996","3.10M","6.64%"
"08/25/2024","0.6097","0.5897","0.6297","0.5715","801.73K","3.39%"
"08/24/2024","0.5897","0.5809","0.6166","0.5658","843.92K","1.62%"
"08/23/2024","0.5803","0.5519","0.5918","0.5508","655.91K","5.32%"
"08/22/2024","0.5510","0.5748","0.5935","0.5468","537.08K","-4.14%"
"08/21/2024","0.5748","0.5692","0.5898","0.5538","635.29K","0.98%"
"08/20/2024","0.5692","0.5910","0.6295","0.5585","1.39M","-3.69%"
"08/19/2024","0.5910","0.5679","0.6870","0.5413","2.97M","4.07%"
"08/18/2024","0.5679","0.4714","0.6997","0.4660","2.75M","20.47%"
"08/17/2024","0.4714","0.4530","0.4720","0.4497","176.42K","4.06%"
"08/16/2024","0.4530","0.4667","0.4794","0.4465","464.09K","-2.94%"
"08/15/2024","0.4667","0.4986","0.5008","0.4583","285.97K","-6.23%"
"08/14/2024","0.4977","0.5002","0.5117","0.4935","312.34K","-0.54%"
"08/13/2024","0.5004","0.5122","0.5127","0.4855","291.55K","-2.30%"
"08/12/2024","0.5122","0.4959","0.5181","0.4930","211.40K","3.10%"
"08/11/2024","0.4968","0.5139","0.5197","0.4923","254.79K","-3.31%"
"08/10/2024","0.5138","0.4890","0.5160","0.4890","165.88K","5.07%"
"08/09/2024","0.4890","0.5035","0.5125","0.4807","329.36K","-2.88%"
"08/08/2024","0.5035","0.4606","0.5061","0.4536","225.00K","9.31%"
"08/07/2024","0.4606","0.4791","0.4875","0.4464","772.80K","-3.98%"
"08/06/2024","0.4797","0.4464","0.4915","0.4461","609.98K","7.39%"
"08/05/2024","0.4467","0.4730","0.4749","0.3930","1.85M","-5.74%"
"08/04/2024","0.4739","0.5077","0.5224","0.4554","712.54K","-6.62%"
"08/03/2024","0.5075","0.5425","0.5598","0.5070","546.72K","-6.45%"
"08/02/2024","0.5425","0.5834","0.5866","0.5357","454.60K","-6.95%"
"08/01/2024","0.5830","0.5933","0.5976","0.5494","611.08K","-1.74%"
"07/31/2024","0.5933","0.6313","0.6438","0.5908","790.47K","-6.02%"
"07/30/2024","0.6313","0.6997","0.7082","0.6273","653.53K","-9.78%"
"07/29/2024","0.6997","0.6923","0.7237","0.6871","422.06K","1.24%"
"07/28/2024","0.6911","0.6998","0.7002","0.6716","306.76K","-1.24%"
"07/27/2024","0.6998","0.6962","0.7135","0.6888","376.93K","0.52%"
"07/26/2024","0.6962","0.6702","0.7012","0.6693","401.98K","3.88%"
"07/25/2024","0.6702","0.6639","0.6726","0.6380","358.20K","1.09%"
"07/24/2024","0.6630","0.6689","0.6900","0.6605","230.03K","-0.88%"
"07/23/2024","0.6689","0.6931","0.7056","0.6626","262.57K","-3.49%"
"07/22/2024","0.6931","0.7167","0.7246","0.6898","313.16K","-3.17%"
"07/21/2024","0.7158","0.6877","0.7267","0.6740","733.94K","4.09%"
"07/20/2024","0.6877","0.6756","0.7097","0.6744","372.87K","1.79%"
"07/19/2024","0.6756","0.6475","0.6884","0.6327","357.55K","4.34%"
"07/18/2024","0.6475","0.6533","0.6793","0.6341","348.15K","-0.89%"
"07/17/2024","0.6533","0.6547","0.6852","0.6515","465.29K","-0.11%"
"07/16/2024","0.6540","0.6690","0.6764","0.6322","501.08K","-2.27%"
"07/15/2024","0.6692","0.6358","0.6692","0.6308","401.20K","5.32%"
"07/14/2024","0.6354","0.6155","0.6415","0.6126","629.73K","3.05%"
"07/13/2024","0.6166","0.5909","0.6226","0.5886","377.87K","4.81%"
"07/12/2024","0.5883","0.5707","0.5952","0.5522","402.46K","3.16%"
"07/11/2024","0.5703","0.5604","0.5809","0.5515","349.41K","1.71%"
"07/10/2024","0.5607","0.5538","0.5732","0.5464","401.35K","1.17%"
"07/09/2024","0.5542","0.5409","0.5563","0.5346","499.38K","2.46%"
"07/08/2024","0.5409","0.5295","0.5670","0.5106","400.23K","1.98%"
"07/07/2024","0.5304","0.5764","0.5764","0.5268","554.51K","-7.98%"
"07/06/2024","0.5764","0.5324","0.5836","0.5270","403.81K","8.20%"
"07/05/2024","0.5327","0.5692","0.5703","0.4831","2.69M","-6.20%"
"07/04/2024","0.5679","0.6288","0.6356","0.5618","1.34M","-9.69%"
"07/03/2024","0.6288","0.6327","0.6670","0.6122","1.14M","-0.62%"
"07/02/2024","0.6327","0.6509","0.6586","0.6262","723.17K","-2.81%"
"07/01/2024","0.6510","0.6407","0.6669","0.6323","1.14M","1.64%"
"06/30/2024","0.6405","0.6237","0.6420","0.6130","567.93K","2.69%"
