"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","0.04989","0.04944","0.05081","0.04889","194.38M","0.80%"
"09/16/2024","0.04949","0.05013","0.05061","0.04913","155.20M","-1.24%"
"09/15/2024","0.05011","0.05163","0.05199","0.04972","132.04M","-2.94%"
"09/14/2024","0.05163","0.05235","0.05290","0.05121","102.86M","-1.36%"
"09/13/2024","0.05235","0.05059","0.05290","0.05033","190.35M","3.47%"
"09/12/2024","0.05059","0.05001","0.05098","0.04980","159.17M","1.17%"
"09/11/2024","0.05001","0.05096","0.05097","0.04871","177.01M","-1.88%"
"09/10/2024","0.05096","0.05108","0.05120","0.05004","142.28M","-0.22%"
"09/09/2024","0.05108","0.04944","0.05160","0.04941","161.85M","3.30%"
"09/08/2024","0.04944","0.04861","0.04998","0.04810","119.05M","1.70%"
"09/07/2024","0.04862","0.04720","0.04902","0.04693","103.45M","2.99%"
"09/06/2024","0.04720","0.04818","0.04889","0.04578","296.07M","-2.04%"
"09/05/2024","0.04818","0.04936","0.04971","0.04767","179.43M","-2.38%"
"09/04/2024","0.04936","0.04889","0.05070","0.04725","241.93M","0.97%"
"09/03/2024","0.04888","0.05081","0.05170","0.04879","176.26M","-3.80%"
"09/02/2024","0.05081","0.04795","0.05099","0.04791","174.50M","5.97%"
"09/01/2024","0.04795","0.04995","0.05009","0.04763","192.07M","-4.00%"
"08/31/2024","0.04995","0.05131","0.05167","0.04955","92.93M","-2.66%"
"08/30/2024","0.05131","0.05119","0.05187","0.04969","186.33M","0.24%"
"08/29/2024","0.05119","0.05123","0.05303","0.05050","214.07M","-0.07%"
"08/28/2024","0.05123","0.05258","0.05392","0.05039","360.95M","-2.60%"
"08/27/2024","0.05259","0.05592","0.05688","0.05118","304.67M","-5.96%"
"08/26/2024","0.05593","0.05898","0.05941","0.05561","193.29M","-5.17%"
"08/25/2024","0.05898","0.06044","0.06052","0.05770","215.30M","-2.41%"
"08/24/2024","0.06043","0.05946","0.06208","0.05854","263.43M","1.64%"
"08/23/2024","0.05946","0.05523","0.05991","0.05513","399.12M","7.66%"
"08/22/2024","0.05523","0.05473","0.05575","0.05409","293.30M","0.92%"
"08/21/2024","0.05472","0.05364","0.05563","0.05234","281.42M","2.02%"
"08/20/2024","0.05364","0.05438","0.05548","0.05303","213.23M","-1.35%"
"08/19/2024","0.05438","0.05311","0.05441","0.05233","211.25M","2.39%"
"08/18/2024","0.05311","0.05261","0.05502","0.05212","154.60M","0.91%"
"08/17/2024","0.05263","0.05197","0.05271","0.05119","99.14M","1.25%"
"08/16/2024","0.05198","0.05185","0.05268","0.05072","233.11M","0.27%"
"08/15/2024","0.05184","0.05362","0.05432","0.05124","293.09M","-3.33%"
"08/14/2024","0.05362","0.05424","0.05519","0.05288","187.05M","-1.14%"
"08/13/2024","0.05424","0.05385","0.05462","0.05174","226.66M","0.73%"
"08/12/2024","0.05384","0.05263","0.05550","0.05259","205.78M","2.34%"
"08/11/2024","0.05261","0.05592","0.05729","0.05260","171.36M","-5.92%"
"08/10/2024","0.05592","0.05625","0.05695","0.05499","158.73M","-0.58%"
"08/09/2024","0.05625","0.05899","0.05905","0.05523","307.67M","-4.61%"
"08/08/2024","0.05897","0.05135","0.05923","0.05083","364.29M","14.88%"
"08/07/2024","0.05133","0.05507","0.05709","0.05084","394.24M","-6.76%"
"08/06/2024","0.05506","0.05218","0.05643","0.05210","489.47M","5.51%"
"08/05/2024","0.05218","0.05529","0.05584","0.04559","1.55B","-5.61%"
"08/04/2024","0.05528","0.05823","0.05881","0.05382","341.43M","-5.06%"
"08/03/2024","0.05823","0.05949","0.05978","0.05621","293.28M","-2.14%"
"08/02/2024","0.05950","0.06330","0.06406","0.05885","350.43M","-6.03%"
"08/01/2024","0.06331","0.06292","0.06379","0.05904","392.99M","0.63%"
"07/31/2024","0.06292","0.06592","0.06693","0.06238","195.20M","-4.56%"
"07/30/2024","0.06592","0.06711","0.06818","0.06480","109.33M","-1.77%"
"07/29/2024","0.06711","0.06753","0.06940","0.06660","122.23M","-0.61%"
"07/28/2024","0.06753","0.06871","0.06920","0.06687","62.42M","-1.71%"
"07/27/2024","0.06870","0.06840","0.07027","0.06759","111.88M","0.44%"
"07/26/2024","0.06840","0.06606","0.06859","0.06592","121.53M","3.54%"
"07/25/2024","0.06607","0.06650","0.06699","0.06388","205.98M","-0.67%"
"07/24/2024","0.06651","0.06822","0.07021","0.06600","109.54M","-2.51%"
"07/23/2024","0.06822","0.07080","0.07151","0.06698","170.07M","-3.64%"
"07/22/2024","0.07080","0.07473","0.07539","0.07052","108.77M","-5.23%"
"07/21/2024","0.07471","0.07461","0.07581","0.07048","129.10M","0.14%"
"07/20/2024","0.07461","0.07462","0.07610","0.07321","110.97M","-0.02%"
"07/19/2024","0.07462","0.07272","0.07561","0.07142","160.11M","2.62%"
"07/18/2024","0.07271","0.07530","0.07620","0.07100","150.51M","-3.44%"
"07/17/2024","0.07530","0.07652","0.07900","0.07521","156.78M","-1.59%"
"07/16/2024","0.07652","0.07827","0.07921","0.07491","175.43M","-2.24%"
"07/15/2024","0.07827","0.07217","0.07921","0.07189","182.02M","8.44%"
"07/14/2024","0.07218","0.07132","0.07320","0.06941","134.03M","1.22%"
"07/13/2024","0.07131","0.06738","0.07202","0.06681","126.67M","5.84%"
"07/12/2024","0.06738","0.06561","0.06762","0.06471","103.90M","2.70%"
"07/11/2024","0.06561","0.06649","0.06877","0.06540","162.15M","-1.33%"
"07/10/2024","0.06649","0.06781","0.06931","0.06550","147.51M","-1.92%"
"07/09/2024","0.06779","0.06632","0.06910","0.06608","136.99M","2.10%"
"07/08/2024","0.06639","0.06462","0.06840","0.06255","216.37M","2.78%"
"07/07/2024","0.06460","0.06992","0.07009","0.06420","120.07M","-7.61%"
"07/06/2024","0.06992","0.06710","0.07092","0.06628","128.69M","4.20%"
"07/05/2024","0.06710","0.06630","0.06890","0.05911","453.77M","1.19%"
"07/04/2024","0.06630","0.07220","0.07251","0.06601","245.40M","-8.16%"
"07/03/2024","0.07220","0.07812","0.07839","0.07170","207.26M","-7.58%"
"07/02/2024","0.07812","0.07669","0.07920","0.07609","124.55M","1.85%"
"07/01/2024","0.07670","0.07669","0.07851","0.07490","128.56M","0.02%"
"06/30/2024","0.07669","0.07623","0.07759","0.07509","99.83M","0.60%"
"06/29/2024","0.07623","0.07699","0.07829","0.07601","51.38M","-0.99%"
"06/28/2024","0.07699","0.07871","0.07998","0.07661","94.59M","-2.18%"
"06/27/2024","0.07871","0.07622","0.08021","0.07517","112.86M","3.28%"
"06/26/2024","0.07621","0.07882","0.07993","0.07491","88.28M","-3.31%"
"06/25/2024","0.07882","0.07751","0.08080","0.07711","110.44M","1.69%"
"06/24/2024","0.07751","0.07633","0.07783","0.07346","200.38M","1.59%"
"06/23/2024","0.07630","0.07789","0.07948","0.07581","79.95M","-2.04%"
"06/22/2024","0.07789","0.07874","0.07879","0.07753","52.97M","-1.08%"
"06/21/2024","0.07874","0.08042","0.08190","0.07820","140.57M","-2.06%"
"06/20/2024","0.08040","0.08058","0.08496","0.08011","153.36M","-0.25%"
"06/19/2024","0.08060","0.07768","0.08200","0.07729","163.43M","3.76%"
"06/18/2024","0.07768","0.08022","0.08042","0.07235","432.59M","-3.25%"
"06/17/2024","0.08029","0.08639","0.08671","0.07888","255.85M","-7.06%"
"06/16/2024","0.08639","0.08490","0.08683","0.08399","84.88M","1.76%"
"06/15/2024","0.08490","0.08632","0.08660","0.08461","74.41M","-1.65%"
"06/14/2024","0.08632","0.08838","0.09050","0.08464","195.30M","-2.35%"
"06/13/2024","0.08839","0.09179","0.09239","0.08728","183.76M","-3.70%"
"06/12/2024","0.09179","0.08731","0.09400","0.08587","239.42M","5.13%"
