"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","0.7317","0.7285","0.7549","0.7218","14.45M","0.29%"
"09/16/2024","0.7296","0.7318","0.7394","0.7134","12.75M","-0.42%"
"09/15/2024","0.7327","0.7703","0.7756","0.7258","9.47M","-4.89%"
"09/14/2024","0.7704","0.7836","0.7900","0.7647","7.89M","-1.57%"
"09/13/2024","0.7827","0.7672","0.7870","0.7399","12.81M","2.09%"
"09/12/2024","0.7667","0.7190","0.7769","0.7190","20.36M","6.66%"
"09/11/2024","0.7188","0.7383","0.7388","0.6961","19.00M","-2.55%"
"09/10/2024","0.7376","0.7362","0.7505","0.7217","13.37M","0.31%"
"09/09/2024","0.7353","0.7097","0.7481","0.6957","21.15M","3.71%"
"09/08/2024","0.7090","0.6981","0.7181","0.6906","11.70M","1.59%"
"09/07/2024","0.6979","0.6838","0.7090","0.6801","10.28M","1.93%"
"09/06/2024","0.6847","0.7077","0.7320","0.6597","25.35M","-3.24%"
"09/05/2024","0.7076","0.7336","0.7381","0.6993","11.02M","-3.50%"
"09/04/2024","0.7333","0.7029","0.7427","0.6739","16.99M","4.49%"
"09/03/2024","0.7018","0.7423","0.7583","0.7012","13.22M","-5.42%"
"09/02/2024","0.7420","0.7050","0.7458","0.6999","16.08M","5.07%"
"09/01/2024","0.7062","0.7421","0.7464","0.7037","12.67M","-4.91%"
"08/31/2024","0.7427","0.7599","0.7665","0.7363","6.62M","-2.22%"
"08/30/2024","0.7596","0.7730","0.7829","0.7258","17.82M","-2.01%"
"08/29/2024","0.7752","0.7907","0.8151","0.7653","17.52M","-1.99%"
"08/28/2024","0.7909","0.8011","0.8239","0.7697","25.35M","-1.64%"
"08/27/2024","0.8041","0.8787","0.9070","0.7897","30.52M","-8.46%"
"08/26/2024","0.8784","0.8893","0.9271","0.8750","33.83M","-0.96%"
"08/25/2024","0.8869","0.9201","0.9208","0.8645","14.39M","-3.59%"
"08/24/2024","0.9199","0.8796","0.9464","0.8691","20.78M","4.74%"
"08/23/2024","0.8783","0.8035","0.8874","0.8025","16.23M","9.31%"
"08/22/2024","0.8035","0.7958","0.8120","0.7805","9.87M","1.06%"
"08/21/2024","0.7951","0.7802","0.8030","0.7635","14.26M","1.99%"
"08/20/2024","0.7796","0.7779","0.8118","0.7671","15.86M","0.23%"
"08/19/2024","0.7778","0.7616","0.7807","0.7421","14.04M","1.97%"
"08/18/2024","0.7628","0.7594","0.7926","0.7507","11.44M","0.36%"
"08/17/2024","0.7601","0.7428","0.7634","0.7349","8.21M","2.22%"
"08/16/2024","0.7436","0.7666","0.7814","0.7258","15.25M","-3.30%"
"08/15/2024","0.7690","0.7906","0.7993","0.7442","20.42M","-2.81%"
"08/14/2024","0.7912","0.8186","0.8464","0.7824","18.78M","-3.44%"
"08/13/2024","0.8194","0.8158","0.8323","0.7940","16.79M","0.23%"
"08/12/2024","0.8175","0.7854","0.8479","0.7830","26.31M","3.92%"
"08/11/2024","0.7867","0.8668","0.8915","0.7846","18.90M","-9.31%"
"08/10/2024","0.8675","0.8804","0.8983","0.8551","11.21M","-1.77%"
"08/09/2024","0.8831","0.9124","0.9145","0.8414","21.53M","-3.23%"
"08/08/2024","0.9126","0.7920","0.9150","0.7736","43.23M","15.24%"
"08/07/2024","0.7919","0.8269","0.9001","0.7872","43.77M","-4.50%"
"08/06/2024","0.8292","0.7342","0.8637","0.7342","50.02M","12.69%"
"08/05/2024","0.7358","0.8241","0.8296","0.6600","138.76M","-10.79%"
"08/04/2024","0.8248","0.8361","0.8702","0.7742","41.96M","-1.32%"
"08/03/2024","0.8358","0.9116","0.9201","0.8130","36.89M","-8.30%"
"08/02/2024","0.9115","1.0276","1.0412","0.8944","48.83M","-11.24%"
"08/01/2024","1.0269","1.0000","1.0303","0.9464","37.20M","2.66%"
"07/31/2024","1.0003","1.0430","1.0833","1.0001","26.21M","-4.17%"
"07/30/2024","1.0438","1.0877","1.1108","1.0314","26.70M","-4.24%"
"07/29/2024","1.0900","1.1191","1.2234","1.0891","43.45M","-2.56%"
"07/28/2024","1.1186","1.0934","1.1553","1.0892","24.15M","2.04%"
"07/27/2024","1.0962","1.0724","1.1783","1.0594","49.12M","2.27%"
"07/26/2024","1.0719","0.9581","1.0803","0.9560","26.38M","11.97%"
"07/25/2024","0.9573","0.9969","1.0119","0.9227","39.52M","-3.88%"
"07/24/2024","0.9959","0.9515","1.0297","0.9438","22.73M","4.68%"
"07/23/2024","0.9514","1.0065","1.0186","0.9354","20.16M","-5.63%"
"07/22/2024","1.0082","1.0869","1.0886","0.9962","20.70M","-7.14%"
"07/21/2024","1.0857","1.0361","1.0911","0.9920","21.85M","4.86%"
"07/20/2024","1.0354","1.0137","1.0551","0.9936","19.84M","2.11%"
"07/19/2024","1.0140","0.9651","1.0362","0.9356","31.88M","5.05%"
"07/18/2024","0.9653","0.8977","0.9892","0.8977","33.01M","7.76%"
"07/17/2024","0.8958","0.9087","0.9504","0.8880","23.29M","-1.45%"
"07/16/2024","0.9090","0.9093","0.9163","0.8421","24.80M","0.26%"
"07/15/2024","0.9066","0.8198","0.9120","0.8143","21.02M","10.48%"
"07/14/2024","0.8206","0.7667","0.8271","0.7667","21.34M","7.11%"
"07/13/2024","0.7661","0.7617","0.7783","0.7509","9.81M","0.64%"
"07/12/2024","0.7612","0.7358","0.7682","0.7200","13.65M","3.69%"
"07/11/2024","0.7341","0.7796","0.7987","0.7329","20.62M","-5.88%"
"07/10/2024","0.7800","0.7880","0.8120","0.7666","13.89M","-1.03%"
"07/09/2024","0.7881","0.7262","0.8027","0.7128","28.17M","8.39%"
"07/08/2024","0.7271","0.6915","0.7447","0.6611","35.56M","5.39%"
"07/07/2024","0.6899","0.7977","0.7980","0.6870","30.07M","-13.59%"
"07/06/2024","0.7984","0.7400","0.8038","0.7256","25.09M","7.91%"
"07/05/2024","0.7399","0.7290","0.7593","0.6395","59.28M","1.73%"
"07/04/2024","0.7273","0.7764","0.8432","0.7196","77.29M","-6.35%"
"07/03/2024","0.7766","0.8847","0.8917","0.7738","26.49M","-12.24%"
"07/02/2024","0.8849","0.8487","0.8897","0.8349","19.33M","4.24%"
"07/01/2024","0.8489","0.8205","0.8603","0.8144","15.40M","3.55%"
"06/30/2024","0.8198","0.7950","0.8276","0.7751","12.32M","3.08%"
"06/29/2024","0.7953","0.7905","0.8194","0.7898","8.16M","0.54%"
"06/28/2024","0.7910","0.8548","0.8683","0.7880","16.93M","-7.51%"
"06/27/2024","0.8552","0.7831","0.8905","0.7669","30.52M","9.21%"
"06/26/2024","0.7831","0.8070","0.8246","0.7720","12.21M","-2.96%"
"06/25/2024","0.8070","0.7673","0.8312","0.7573","25.51M","5.08%"
"06/24/2024","0.7680","0.7351","0.7730","0.6889","25.52M","4.49%"
"06/23/2024","0.7350","0.7755","0.7873","0.7329","8.43M","-5.26%"
"06/22/2024","0.7758","0.7655","0.7912","0.7554","9.52M","1.31%"
"06/21/2024","0.7658","0.7669","0.7893","0.7320","14.64M","-0.08%"
"06/20/2024","0.7664","0.7732","0.8326","0.7561","24.25M","-0.98%"
"06/19/2024","0.7740","0.7381","0.7990","0.7097","29.01M","4.69%"
"06/18/2024","0.7393","0.8561","0.8607","0.7058","42.29M","-13.64%"
"06/17/2024","0.8561","0.9271","0.9358","0.8257","19.96M","-7.70%"
"06/16/2024","0.9275","0.8698","0.9294","0.8485","8.82M","6.60%"
"06/15/2024","0.8701","0.8684","0.8874","0.8602","5.49M","0.17%"
"06/14/2024","0.8686","0.9057","0.9255","0.8359","18.50M","-3.89%"
"06/13/2024","0.9038","0.9694","0.9708","0.8998","16.29M","-6.78%"
"06/12/2024","0.9695","0.9273","1.0103","0.9011","21.17M","4.61%"
"06/11/2024","0.9268","0.9699","0.9758","0.8996","17.61M","-4.43%"
