"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","0.004194","0.004149","0.004302","0.004052","91.09M","1.85%"
"09/16/2024","0.004118","0.004086","0.004247","0.003998","81.52M","0.83%"
"09/15/2024","0.004084","0.004357","0.004436","0.004068","50.78M","-6.31%"
"09/14/2024","0.004359","0.004627","0.004720","0.004305","46.40M","-5.85%"
"09/13/2024","0.004630","0.004252","0.004782","0.004123","98.42M","8.81%"
"09/12/2024","0.004255","0.004279","0.004374","0.004167","85.28M","-0.58%"
"09/11/2024","0.004280","0.004474","0.004479","0.004094","99.71M","-4.27%"
"09/10/2024","0.004471","0.004434","0.004570","0.004267","90.33M","0.97%"
"09/09/2024","0.004428","0.004120","0.004544","0.004045","107.05M","7.42%"
"09/08/2024","0.004122","0.004013","0.004199","0.003952","60.61M","2.79%"
"09/07/2024","0.004010","0.003944","0.004182","0.003900","81.42M","1.73%"
"09/06/2024","0.003942","0.003977","0.004270","0.003746","149.91M","-0.81%"
"09/05/2024","0.003974","0.004146","0.004200","0.003885","104.06M","-4.24%"
"09/04/2024","0.004150","0.003910","0.004246","0.003725","118.81M","6.25%"
"09/03/2024","0.003906","0.004166","0.004315","0.003896","79.42M","-6.22%"
"09/02/2024","0.004165","0.003786","0.004218","0.003747","87.01M","9.75%"
"09/01/2024","0.003795","0.004083","0.004111","0.003762","74.05M","-6.94%"
"08/31/2024","0.004078","0.004296","0.004327","0.004017","62.92M","-5.01%"
"08/30/2024","0.004293","0.004230","0.004388","0.004029","99.81M","1.68%"
"08/29/2024","0.004222","0.004256","0.004526","0.004159","99.76M","-0.80%"
"08/28/2024","0.004256","0.004438","0.004550","0.004073","126.17M","-4.04%"
"08/27/2024","0.004435","0.004735","0.004895","0.004377","112.46M","-6.67%"
"08/26/2024","0.004752","0.005380","0.005434","0.004689","71.67M","-11.43%"
"08/25/2024","0.005365","0.005651","0.005692","0.005200","49.58M","-5.06%"
"08/24/2024","0.005651","0.005653","0.005995","0.005525","55.45M","0.37%"
"08/23/2024","0.005630","0.004706","0.005820","0.004685","98.73M","19.43%"
"08/22/2024","0.004714","0.004680","0.004776","0.004589","74.92M","0.77%"
"08/21/2024","0.004678","0.004834","0.004854","0.004529","93.78M","-3.19%"
"08/20/2024","0.004832","0.004794","0.005250","0.004715","93.25M","0.90%"
"08/19/2024","0.004789","0.004516","0.004835","0.004435","72.14M","6.02%"
"08/18/2024","0.004517","0.004631","0.004775","0.004476","51.11M","-2.40%"
"08/17/2024","0.004628","0.004365","0.004742","0.004251","42.04M","6.64%"
"08/16/2024","0.004340","0.004493","0.004587","0.004172","90.31M","-3.71%"
"08/15/2024","0.004507","0.004380","0.004932","0.004353","107.92M","2.88%"
"08/14/2024","0.004381","0.004751","0.004767","0.004310","96.94M","-7.87%"
"08/13/2024","0.004755","0.004515","0.004844","0.004309","93.35M","5.90%"
