"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","1.463","1.430","1.505","1.414","932.54K","2.38%"
"09/16/2024","1.429","1.460","1.466","1.409","1.36M","-2.26%"
"09/15/2024","1.462","1.522","1.536","1.454","879.42K","-3.94%"
"09/14/2024","1.522","1.547","1.547","1.507","855.43K","-1.62%"
"09/13/2024","1.547","1.490","1.558","1.458","1.58M","3.62%"
"09/12/2024","1.493","1.456","1.510","1.455","1.57M","2.61%"
"09/11/2024","1.455","1.486","1.490","1.414","2.27M","-2.09%"
"09/10/2024","1.486","1.519","1.533","1.479","1.84M","-2.17%"
"09/09/2024","1.519","1.473","1.544","1.441","1.74M","3.12%"
"09/08/2024","1.473","1.436","1.480","1.423","1.21M","2.58%"
"09/07/2024","1.436","1.413","1.460","1.411","1.12M","1.56%"
"09/06/2024","1.414","1.463","1.498","1.353","2.24M","-3.42%"
"09/05/2024","1.464","1.523","1.537","1.448","1.16M","-3.94%"
"09/04/2024","1.524","1.442","1.555","1.402","2.42M","5.83%"
"09/03/2024","1.440","1.521","1.563","1.440","1.20M","-5.39%"
"09/02/2024","1.522","1.436","1.536","1.417","1.58M","5.47%"
"09/01/2024","1.443","1.514","1.525","1.434","1.15M","-4.69%"
"08/31/2024","1.514","1.561","1.574","1.502","501.08K","-2.95%"
"08/30/2024","1.560","1.596","1.608","1.485","1.81M","-2.38%"
"08/29/2024","1.598","1.566","1.694","1.566","2.83M","1.98%"
"08/28/2024","1.567","1.654","1.654","1.522","2.93M","-5.60%"
"08/27/2024","1.660","1.763","1.803","1.630","2.66M","-5.95%"
"08/26/2024","1.765","1.838","1.857","1.757","2.55M","-3.92%"
"08/25/2024","1.837","1.882","1.901","1.779","2.55M","-2.39%"
"08/24/2024","1.882","1.836","1.959","1.800","3.58M","2.62%"
"08/23/2024","1.834","1.698","1.873","1.685","3.75M","7.82%"
"08/22/2024","1.701","1.681","1.735","1.655","1.44M","1.13%"
"08/21/2024","1.682","1.674","1.696","1.593","2.57M","0.48%"
"08/20/2024","1.674","1.703","1.761","1.665","2.15M","-1.59%"
"08/19/2024","1.701","1.690","1.705","1.655","1.39M","0.65%"
"08/18/2024","1.690","1.702","1.748","1.655","1.93M","-0.76%"
"08/17/2024","1.703","1.687","1.721","1.671","1.35M","0.83%"
"08/16/2024","1.689","1.724","1.757","1.646","1.74M","-2.09%"
"08/15/2024","1.725","1.779","1.804","1.680","2.87M","-3.20%"
"08/14/2024","1.782","1.827","1.936","1.776","3.16M","-2.46%"
"08/13/2024","1.827","1.828","1.883","1.756","2.90M","-0.16%"
"08/12/2024","1.830","1.732","1.909","1.732","3.72M","5.66%"
"08/11/2024","1.732","1.891","1.958","1.721","3.52M","-8.41%"
"08/10/2024","1.891","1.877","1.909","1.821","2.11M","0.80%"
"08/09/2024","1.876","1.919","1.919","1.787","3.99M","-2.09%"
"08/08/2024","1.916","1.596","1.930","1.555","6.65M","20.43%"
"08/07/2024","1.591","1.607","1.777","1.552","7.69M","-1.00%"
"08/06/2024","1.607","1.477","1.670","1.477","6.32M","8.14%"
"08/05/2024","1.486","1.624","1.635","1.234","19.43M","-8.50%"
"08/04/2024","1.624","1.709","1.758","1.521","4.74M","-4.92%"
"08/03/2024","1.708","1.858","1.872","1.674","4.66M","-8.17%"
