"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","4.7620","4.7373","4.9474","4.6575","2.30M","0.48%"
"09/16/2024","4.7391","4.9519","4.9938","4.6728","1.48M","-4.20%"
"09/15/2024","4.9468","5.2268","5.2730","4.8962","1.07M","-5.36%"
"09/14/2024","5.2268","5.2244","5.3728","5.1848","915.38K","-0.10%"
"09/13/2024","5.2318","5.2225","5.3019","5.0000","2.51M","0.18%"
"09/12/2024","5.2225","5.0878","5.3110","5.0771","2.50M","2.63%"
"09/11/2024","5.0885","5.2562","5.2726","4.8129","1.74M","-3.19%"
"09/10/2024","5.2562","5.1550","5.3279","5.0000","1.24M","1.96%"
"09/09/2024","5.1550","4.8679","5.2445","4.7889","1.32M","5.90%"
"09/08/2024","4.8679","4.7187","4.9311","4.7020","541.05K","3.16%"
"09/07/2024","4.7187","4.6742","4.8895","4.6608","656.51K","0.95%"
"09/06/2024","4.6742","4.6769","4.9245","4.4462","1.38M","-0.06%"
"09/05/2024","4.6769","4.9199","4.9567","4.6330","540.11K","-4.94%"
"09/04/2024","4.9199","4.6934","5.0414","4.5272","1.11M","4.83%"
"09/03/2024","4.6934","5.0839","5.2021","4.6900","1.44M","-7.68%"
"09/02/2024","5.0839","4.8239","5.1521","4.7769","798.93K","5.38%"
"09/01/2024","4.8242","5.0033","5.1500","4.8156","1.24M","-3.58%"
"08/31/2024","5.0033","5.2400","5.3308","4.9557","567.43K","-4.52%"
"08/30/2024","5.2400","5.2461","5.3253","4.8385","1.38M","-0.12%"
"08/29/2024","5.2461","5.5202","5.7988","5.1801","1.92M","-4.97%"
"08/28/2024","5.5202","5.7256","6.1273","5.4589","2.23M","-3.75%"
"08/27/2024","5.7350","6.1558","6.5703","5.5731","2.93M","-6.84%"
"08/26/2024","6.1558","6.3218","6.4241","5.9588","1.16M","-2.70%"
"08/25/2024","6.3265","6.1669","6.4846","6.0518","1.95M","2.59%"
"08/24/2024","6.1669","5.5925","6.3613","5.4451","2.05M","10.40%"
"08/23/2024","5.5858","5.0479","5.7446","5.0457","2.64M","10.65%"
"08/22/2024","5.0481","4.7821","5.0866","4.7245","1.50M","5.56%"
"08/21/2024","4.7821","4.4920","4.8544","4.4089","1.04M","6.33%"
"08/20/2024","4.4976","4.5974","4.6946","4.3765","1.19M","-2.18%"
"08/19/2024","4.5977","4.4753","4.6000","4.3212","904.19K","2.85%"
"08/18/2024","4.4703","4.5122","4.6250","4.4664","841.69K","-0.94%"
"08/17/2024","4.5128","4.5005","4.5544","4.3952","485.31K","0.27%"
"08/16/2024","4.5005","4.5331","4.6400","4.3046","1.08M","-0.72%"
"08/15/2024","4.5331","4.6945","4.7471","4.4511","1.38M","-3.71%"
"08/14/2024","4.7078","4.8269","4.9550","4.6294","1.20M","-2.46%"
"08/13/2024","4.8264","4.7120","4.8688","4.5257","1.41M","2.43%"
"08/12/2024","4.7120","4.4816","4.7706","4.4280","1.34M","5.18%"
"08/11/2024","4.4799","4.8732","5.0892","4.4622","1.96M","-8.08%"
"08/10/2024","4.8738","4.8503","4.9303","4.7378","850.68K","0.48%"
"08/09/2024","4.8503","5.0365","5.1000","4.7912","1.88M","-3.70%"
"08/08/2024","5.0365","4.3504","5.0612","4.2469","3.30M","15.77%"
"08/07/2024","4.3504","4.6700","4.9769","4.2688","2.64M","-6.84%"
"08/06/2024","4.6700","4.1243","4.8656","4.1156","2.69M","13.23%"
"08/05/2024","4.1243","4.5267","4.5938","3.3910","7.62M","-8.87%"
"08/04/2024","4.5255","4.9465","5.0731","4.3500","2.38M","-8.51%"
"08/03/2024","4.9465","4.9364","5.3335","4.7701","2.02M","0.16%"
"08/02/2024","4.9386","5.6599","5.6900","4.8400","2.00M","-12.74%"
"08/01/2024","5.6599","5.7341","5.8844","5.1165","2.36M","-1.29%"
"07/31/2024","5.7341","6.0258","6.1693","5.7051","1.54M","-4.84%"
"07/30/2024","6.0258","6.1642","6.3850","5.9742","734.90K","-2.25%"
"07/29/2024","6.1642","6.2588","6.6425","6.1452","1.20M","-1.40%"
"07/28/2024","6.2515","6.4681","6.5434","6.2301","666.67K","-3.35%"
"07/27/2024","6.4681","6.7731","6.9529","6.3952","1.19M","-4.50%"
"07/26/2024","6.7731","6.1313","6.9838","6.1238","1.25M","10.47%"
"07/25/2024","6.1313","6.2050","6.2727","5.8596","1.37M","-1.19%"
