"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","1.5320","1.5110","1.5820","1.4890","2.49M","1.39%"
"09/16/2024","1.5110","1.5020","1.5210","1.4510","2.26M","0.87%"
"09/15/2024","1.4980","1.5650","1.5980","1.4850","1.33M","-4.22%"
"09/14/2024","1.5640","1.6360","1.6460","1.5500","1.30M","-4.46%"
"09/13/2024","1.6370","1.5580","1.6660","1.5010","2.19M","5.27%"
"09/12/2024","1.5550","1.5400","1.5970","1.5140","2.32M","0.84%"
"09/11/2024","1.5420","1.6440","1.6490","1.5000","2.70M","-6.32%"
"09/10/2024","1.6460","1.6710","1.7190","1.6230","2.15M","-1.26%"
"09/09/2024","1.6670","1.5710","1.7620","1.5130","2.67M","6.31%"
"09/08/2024","1.5680","1.4790","1.5910","1.4700","1.62M","5.95%"
"09/07/2024","1.4800","1.4870","1.5350","1.4600","2.16M","-0.60%"
"09/06/2024","1.4890","1.5330","1.6000","1.4010","3.97M","-2.74%"
"09/05/2024","1.5310","1.6390","1.6390","1.5030","2.63M","-6.59%"
"09/04/2024","1.6390","1.4930","1.6470","1.4230","3.12M","9.78%"
"09/03/2024","1.4930","1.5400","1.6390","1.4880","2.12M","-3.05%"
"09/02/2024","1.5400","1.3980","1.5570","1.3850","2.42M","10.24%"
"09/01/2024","1.3970","1.5170","1.5260","1.3820","2.01M","-7.97%"
"08/31/2024","1.5180","1.5430","1.5780","1.4990","1.44M","-1.68%"
"08/30/2024","1.5440","1.5400","1.5730","1.4390","2.80M","0.26%"
"08/29/2024","1.5400","1.5800","1.6910","1.5210","2.71M","-2.59%"
"08/28/2024","1.5810","1.5710","1.6580","1.4840","3.50M","0.38%"
"08/27/2024","1.5750","1.7700","1.8220","1.5500","2.80M","-11.02%"
"08/26/2024","1.7700","1.9050","1.9460","1.7700","1.89M","-7.04%"
"08/25/2024","1.9040","1.9690","1.9700","1.8440","1.38M","-3.20%"
"08/24/2024","1.9670","1.8400","2.0310","1.7850","1.65M","6.90%"
"08/23/2024","1.8400","1.6210","1.8860","1.5920","2.97M","13.58%"
"08/22/2024","1.6200","1.5610","1.6580","1.5280","2.20M","3.78%"
"08/21/2024","1.5610","1.5550","1.6070","1.4690","2.76M","0.32%"
"08/20/2024","1.5560","1.4360","1.6220","1.4150","2.90M","8.43%"
"08/19/2024","1.4350","1.3910","1.4400","1.3270","2.40M","3.09%"
"08/18/2024","1.3920","1.4210","1.4780","1.3900","1.64M","-2.04%"
"08/17/2024","1.4210","1.3930","1.4590","1.3620","1.33M","2.08%"
"08/16/2024","1.3920","1.4763","1.6950","1.3420","2.44M","-5.63%"
"08/15/2024","1.4751","1.5738","1.6045","1.4274","3.17M","-6.26%"
"08/14/2024","1.5736","1.7040","1.7483","1.5616","2.67M","-7.52%"
"08/13/2024","1.7015","1.7246","1.7494","1.6418","2.43M","-1.36%"
"08/12/2024","1.7250","1.6283","1.8195","1.6242","2.78M","6.03%"
"08/11/2024","1.6269","1.8150","1.8869","1.6243","1.59M","-10.39%"
"08/10/2024","1.8156","1.8184","1.8578","1.7631","1.20M","-0.18%"
"08/09/2024","1.8189","1.9109","1.9540","1.7640","2.61M","-4.88%"
"08/08/2024","1.9122","1.6024","1.9444","1.5493","3.87M","19.37%"
"08/07/2024","1.6019","1.4161","1.7748","1.3706","3.73M","13.12%"
"08/06/2024","1.4161","1.2614","1.4731","1.2579","5.54M","12.19%"
"08/05/2024","1.2622","1.4394","1.4680","1.0786","12.77M","-12.33%"
"08/04/2024","1.4397","1.5980","1.6329","1.3569","2.87M","-9.89%"
"08/03/2024","1.5977","1.6633","1.7359","1.5374","2.67M","-3.97%"
"08/02/2024","1.6638","1.9607","1.9829","1.6444","3.22M","-15.06%"
"08/01/2024","1.9587","2.1751","2.1955","1.8281","2.90M","-10.14%"
"07/31/2024","2.1798","2.2883","2.3496","2.1508","1.79M","-4.63%"
"07/30/2024","2.2856","2.2814","2.3916","2.2496","1.63M","0.15%"
"07/29/2024","2.2822","2.4086","2.5655","2.2782","2.03M","-5.24%"
"07/28/2024","2.4085","2.4818","2.5101","2.3801","874.01K","-3.10%"
"07/27/2024","2.4855","2.6623","2.7028","2.4062","1.68M","-6.83%"
"07/26/2024","2.6676","2.5155","2.6791","2.5034","1.72M","6.07%"
"07/25/2024","2.5150","2.4978","2.5782","2.3225","2.29M","0.68%"
"07/24/2024","2.4979","2.5546","2.6811","2.4567","1.71M","-2.25%"
