"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","172.470","170.272","172.520","169.020","80.45K","1.29%"
"09/16/2024","170.272","170.090","171.789","167.930","103.67K","0.11%"
"09/15/2024","170.090","169.560","171.500","169.293","49.40K","0.31%"
"09/14/2024","169.560","170.121","171.110","167.779","70.02K","-0.33%"
"09/13/2024","170.121","171.919","172.910","169.631","110.97K","-1.05%"
"09/12/2024","171.919","173.379","175.390","169.430","71.47K","-0.84%"
"09/11/2024","173.379","167.669","174.470","166.650","86.96K","3.41%"
"09/10/2024","167.669","170.958","171.679","166.049","90.05K","-1.92%"
"09/09/2024","170.958","172.054","173.918","170.051","81.44K","-0.64%"
"09/08/2024","172.054","167.442","176.277","167.442","36.07K","2.75%"
"09/07/2024","167.442","165.111","172.706","162.221","45.66K","1.41%"
"09/06/2024","165.111","172.678","173.880","164.330","79.62K","-4.38%"
"09/05/2024","172.678","171.000","176.840","169.630","134.47K","0.98%"
"09/04/2024","171.000","173.117","175.239","170.570","95.20K","-1.22%"
"09/03/2024","173.117","170.600","175.958","169.849","210.61K","1.48%"
"09/02/2024","170.600","169.829","170.779","167.021","118.04K","0.45%"
"09/01/2024","169.829","168.869","172.249","164.063","110.49K","0.57%"
"08/31/2024","168.869","168.560","172.515","161.198","152.16K","0.18%"
"08/30/2024","168.560","161.989","168.591","160.830","144.25K","4.06%"
"08/29/2024","161.989","157.980","166.609","155.940","113.78K","2.54%"
"08/28/2024","157.980","155.899","160.419","153.479","89.98K","1.33%"
"08/27/2024","155.899","166.693","168.310","155.280","110.51K","-6.48%"
"08/26/2024","166.693","166.414","167.813","162.768","90.42K","0.17%"
"08/25/2024","166.414","169.592","171.571","165.771","76.65K","-1.87%"
"08/24/2024","169.592","172.940","176.011","167.493","121.80K","-1.94%"
"08/23/2024","172.940","168.658","173.049","163.189","133.00K","2.54%"
"08/22/2024","168.658","161.549","169.819","160.041","117.84K","4.40%"
"08/21/2024","161.549","159.451","162.469","156.790","90.32K","1.32%"
"08/20/2024","159.451","154.950","161.250","154.030","146.52K","2.90%"
"08/19/2024","154.950","151.279","156.870","149.831","166.07K","2.43%"
"08/18/2024","151.279","150.200","151.899","149.580","66.75K","0.72%"
"08/17/2024","150.200","148.430","150.200","148.290","46.02K","1.10%"
"08/16/2024","148.570","149.335","150.091","148.130","54.61K","-0.51%"
"08/15/2024","149.335","151.296","153.466","148.057","81.62K","-1.30%"
"08/14/2024","151.296","147.600","152.044","147.401","78.42K","2.50%"
"08/13/2024","147.600","150.431","151.040","147.341","58.65K","-1.88%"
"08/12/2024","150.431","149.041","150.600","147.610","77.49K","0.93%"
"08/11/2024","149.041","150.181","151.590","148.311","42.42K","-0.76%"
"08/10/2024","150.181","152.950","153.060","147.530","58.14K","-1.81%"
"08/09/2024","152.950","158.010","159.070","152.220","102.67K","-3.20%"
"08/08/2024","158.010","146.038","159.200","145.430","123.87K","8.20%"
"08/07/2024","146.038","147.781","152.829","143.819","121.36K","-1.11%"
"08/06/2024","147.685","145.709","151.560","145.709","91.36K","1.36%"
"08/05/2024","145.709","150.492","154.132","135.956","227.07K","-3.18%"
"08/04/2024","150.492","149.539","153.941","145.775","117.25K","0.64%"
"08/03/2024","149.539","158.169","161.390","141.328","147.53K","-5.46%"
"08/02/2024","158.169","156.709","164.809","155.574","170.37K","0.93%"
"08/01/2024","156.709","157.655","158.586","149.979","117.56K","-0.61%"
"07/31/2024","157.663","158.079","161.003","155.640","89.63K","-0.26%"
"07/30/2024","158.079","161.184","164.918","156.540","96.73K","-1.93%"
"07/29/2024","161.184","164.541","165.644","160.791","54.80K","-2.04%"
"07/28/2024","164.541","162.341","165.109","159.951","52.22K","1.36%"
"07/27/2024","162.341","161.351","165.531","161.050","73.04K","0.61%"
"07/26/2024","161.351","162.728","175.306","160.804","225.48K","-0.85%"
"07/25/2024","162.728","160.261","162.790","152.014","103.96K","1.54%"
"07/24/2024","160.261","160.664","164.012","159.388","52.28K","-0.25%"
"07/23/2024","160.664","161.196","161.956","157.531","44.46K","-0.33%"
"07/22/2024","161.196","164.614","165.281","160.068","88.34K","-2.08%"
"07/21/2024","164.614","163.316","165.000","161.970","54.63K","0.79%"
"07/20/2024","163.316","161.121","164.602","161.121","50.71K","1.36%"
"07/19/2024","161.121","160.920","162.973","158.232","55.75K","0.14%"
"07/18/2024","160.891","160.211","161.379","159.859","59.46K","0.42%"
"07/17/2024","160.211","161.770","164.129","158.853","78.52K","-0.96%"
"07/16/2024","161.770","158.210","163.670","157.281","108.00K","2.25%"
"07/15/2024","158.210","159.460","161.559","157.330","80.73K","-0.78%"
"07/14/2024","159.460","157.197","159.819","155.161","60.65K","1.44%"
"07/13/2024","157.197","159.648","162.479","156.619","57.21K","-1.54%"
"07/12/2024","159.648","158.191","159.981","156.971","72.94K","0.92%"
"07/11/2024","158.191","155.480","159.710","155.100","92.73K","1.74%"
"07/10/2024","155.480","155.021","158.800","152.640","80.56K","0.30%"
"07/09/2024","155.021","154.407","155.470","152.308","91.13K","0.40%"
"07/08/2024","154.407","148.530","155.129","144.300","118.05K","3.96%"
"07/07/2024","148.530","158.070","159.590","148.530","88.72K","-6.04%"
